,open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_base_volue,taker_quote_volume,ignore,market_name
259,1578614400000,0.01459000,0.01497000,0.01423000,0.01486000,211672984.30000000,1578700799999,3090979.99358500,10637,107982555.60000000,1578573.67107700,0,MATICUSDT
260,1578700800000,0.01486000,0.01510000,0.01471000,0.01479000,178764052.80000000,1578787199999,2661535.45808300,8076,90973633.60000000,1356111.72194000,0,MATICUSDT
261,1578787200000,0.01478000,0.01520000,0.01466000,0.01496000,147803317.80000000,1578873599999,2217304.27740200,6612,67537887.60000000,1013679.00189000,0,MATICUSDT
262,1578873600000,0.01497000,0.01565000,0.01476000,0.01548000,227352720.20000000,1578959999999,3457370.87538000,9096,120159071.60000000,1828442.31109400,0,MATICUSDT
263,1578960000000,0.01548000,0.01605000,0.01520000,0.01564000,508533400.10000000,1579046399999,7938141.54474100,20589,269808458.60000000,4216641.77280000,0,MATICUSDT
264,1579046400000,0.01563000,0.01704000,0.01546000,0.01639000,454172196.70000000,1579132799999,7354866.39172400,18330,213567678.70000000,3461139.07715800,0,MATICUSDT
265,1579132800000,0.01640000,0.01645000,0.01542000,0.01614000,375117135.80000000,1579219199999,5948279.91700300,13176,171275079.20000000,2716723.23751000,0,MATICUSDT
266,1579219200000,0.01613000,0.01926000,0.01576000,0.01870000,1188281610.10000000,1579305599999,21375745.80401000,37462,587045337.40000000,10563411.47547400,0,MATICUSDT
267,1579305600000,0.01870000,0.01886000,0.01721000,0.01748000,408909989.50000000,1579391999999,7400927.93519700,14953,181567431.00000000,3288818.22656800,0,MATICUSDT
268,1579392000000,0.01747000,0.01779000,0.01584000,0.01643000,380894731.60000000,1579478399999,6441619.86741700,16267,164701120.20000000,2785285.06356100,0,MATICUSDT
269,1579478400000,0.01644000,0.01723000,0.01602000,0.01685000,256003406.30000000,1579564799999,4248315.97658300,9261,121589527.60000000,2018903.47439300,0,MATICUSDT
270,1579564800000,0.01686000,0.01745000,0.01616000,0.01713000,294705404.10000000,1579651199999,5032018.37799900,11928,139225091.30000000,2377844.63825900,0,MATICUSDT
271,1579651200000,0.01715000,0.01724000,0.01672000,0.01708000,172091173.60000000,1579737599999,2926145.71299000,7956,78458822.00000000,1333409.47460300,0,MATICUSDT
272,1579737600000,0.01710000,0.01711000,0.01569000,0.01605000,249820107.70000000,1579823999999,4053666.08668700,11295,116241655.90000000,1887185.86480700,0,MATICUSDT
273,1579824000000,0.01605000,0.01646000,0.01531000,0.01622000,189090063.30000000,1579910399999,3019126.45520000,10414,95926308.30000000,1532845.39014900,0,MATICUSDT
274,1579910400000,0.01622000,0.01642000,0.01576000,0.01602000,153695842.30000000,1579996799999,2476959.34420100,7807,63823570.40000000,1029289.92422100,0,MATICUSDT
275,1579996800000,0.01600000,0.01666000,0.01592000,0.01645000,139815455.50000000,1580083199999,2285765.17670600,6771,70326493.10000000,1148801.69066100,0,MATICUSDT
276,1580083200000,0.01648000,0.01737000,0.01647000,0.01690000,265267740.00000000,1580169599999,4478003.42750200,10918,128868814.50000000,2178135.19901000,0,MATICUSDT
277,1580169600000,0.01690000,0.01735000,0.01649000,0.01714000,292710824.50000000,1580255999999,4956032.93874500,12828,129981746.90000000,2200766.01597600,0,MATICUSDT
278,1580256000000,0.01715000,0.01725000,0.01673000,0.01704000,229198524.60000000,1580342399999,3898183.89795400,10352,106206711.90000000,1807223.14099600,0,MATICUSDT
279,1580342400000,0.01704000,0.01871000,0.01685000,0.01859000,528836868.50000000,1580428799999,9523585.09178300,21339,251446930.70000000,4528449.24904800,0,MATICUSDT
280,1580428800000,0.01859000,0.01885000,0.01769000,0.01795000,309411929.00000000,1580515199999,5657259.89269500,13885,147058633.80000000,2691408.04348400,0,MATICUSDT
281,1580515200000,0.01790000,0.01842000,0.01780000,0.01829000,138733238.40000000,1580601599999,2521067.72465000,7129,63585900.20000000,1156251.26067400,0,MATICUSDT
282,1580601600000,0.01829000,0.01970000,0.01780000,0.01903000,346032953.90000000,1580687999999,6534188.25274300,15418,158900757.80000000,2996920.13377900,0,MATICUSDT
283,1580688000000,0.01903000,0.02250000,0.01886000,0.02199000,980888883.30000000,1580774399999,20416791.27699700,34336,459294432.30000000,9555985.65449500,0,MATICUSDT
284,1580774400000,0.02199000,0.02266000,0.02020000,0.02098000,877010051.40000000,1580860799999,18681149.61793400,32988,386622832.70000000,8228477.70910800,0,MATICUSDT
285,1580860800000,0.02102000,0.02223000,0.02077000,0.02155000,570440728.90000000,1580947199999,12256746.43364000,24445,271529348.20000000,5839538.88806200,0,MATICUSDT
