,timestamp,,open_price,highest_price,lowest_price,current_price,volume,market_name
160,1.57075E+12,2019/10/11,0.0261,0.0261,0.0261,0.0261,0,BCT_USDT
161,1.57084E+12,2019/10/12,0.0261,0.0261,0.0261,0.0261,0,BCT_USDT
162,1.57092E+12,2019/10/13,0.0261,0.0261,0.0261,0.0261,0,BCT_USDT
163,1.57101E+12,2019/10/14,0.0261,0.0261,0.0261,0.0261,0,BCT_USDT
164,1.5711E+12,2019/10/15,0.0291,0.0291,0.028,0.028,218682,BCT_USDT
165,1.57118E+12,2019/10/16,0.0276,0.0276,0.0276,0.0276,24650,BCT_USDT
166,1.57127E+12,2019/10/17,0.0276,0.0276,0.0276,0.0276,65942,BCT_USDT
167,1.57136E+12,2019/10/18,0.0276,0.0276,0.0276,0.0276,0,BCT_USDT
168,1.57144E+12,2019/10/19,0.0276,0.0276,0.0276,0.0276,0,BCT_USDT
169,1.57153E+12,2019/10/20,0.0276,0.0276,0.0276,0.0276,0,BCT_USDT
170,1.57162E+12,2019/10/21,0.0276,0.0276,0.0276,0.0276,0,BCT_USDT
171,1.5717E+12,2019/10/22,0.0276,0.0276,0.0276,0.0276,0,BCT_USDT
172,1.57179E+12,2019/10/23,0.0276,0.0276,0.0276,0.0276,0,BCT_USDT
173,1.57188E+12,2019/10/24,0.0278,0.0278,0.0278,0.0278,925,BCT_USDT
174,1.57196E+12,2019/10/25,0.0303,0.0379,0.0278,0.03,12813,BCT_USDT
175,1.57205E+12,2019/10/26,0.03,0.03,0.03,0.03,0,BCT_USDT
176,1.57213E+12,2019/10/27,0.037,0.0384,0.0333,0.038,56181,BCT_USDT
177,1.57222E+12,2019/10/28,0.037,0.037,0.0321,0.0321,143707,BCT_USDT
178,1.57231E+12,2019/10/29,0.035,0.041,0.035,0.0399,545242,BCT_USDT
179,1.57239E+12,2019/10/30,0.0399,0.041,0.0399,0.041,66002,BCT_USDT
180,1.57248E+12,2019/10/31,0.042,0.042,0.042,0.042,1509,BCT_USDT
181,1.57257E+12,2019/11/1,0.042,0.042,0.042,0.042,0,BCT_USDT
182,1.57265E+12,2019/11/2,0.042,0.042,0.042,0.042,0,BCT_USDT
183,1.57274E+12,2019/11/3,0.042,0.042,0.042,0.042,0,BCT_USDT
184,1.57283E+12,2019/11/4,0.043,0.043,0.038,0.038,4489,BCT_USDT
185,1.57291E+12,2019/11/5,0.038,0.038,0.038,0.038,0,BCT_USDT
186,1.573E+12,2019/11/6,0.038,0.038,0.038,0.038,0,BCT_USDT
187,1.57308E+12,2019/11/7,0.038,0.042,0.035,0.042,26362,BCT_USDT
188,1.57317E+12,2019/11/8,0.042,0.042,0.042,0.042,0,BCT_USDT
189,1.57326E+12,2019/11/9,0.035,0.035,0.035,0.035,29020,BCT_USDT
190,1.57334E+12,2019/11/10,0.035,0.035,0.035,0.035,0,BCT_USDT
191,1.57343E+12,2019/11/11,0.035,0.035,0.035,0.035,0,BCT_USDT
192,1.57352E+12,2019/11/12,0.035,0.035,0.033,0.033,72818,BCT_USDT
193,1.5736E+12,2019/11/13,0.0338,0.0338,0.03,0.03,276609,BCT_USDT
194,1.57369E+12,2019/11/14,0.03,0.03,0.03,0.03,0,BCT_USDT
195,1.57378E+12,2019/11/15,0.03,0.03,0.03,0.03,0,BCT_USDT
