,time,open,close,highest,lowest,volume,amount,market_name
191,1578528000,0.00029311,0.00028688,0.00029389,0.00028558,2256754396.64697028,653075.1328663687746266,BTTUSDT
192,1578614400,0.00028684,0.00029713,0.00030090,0.00028386,1460275265.96581012,424176.4718576510978726,BTTUSDT
193,1578700800,0.00029711,0.00029499,0.00030371,0.00028886,1430999664.20322407,423340.1337756931733729,BTTUSDT
194,1578787200,0.00029497,0.00032668,0.00032668,0.00029285,1442409786.28434326,449538.1411338927521930,BTTUSDT
195,1578873600,0.00032670,0.00031066,0.00032696,0.00030222,1403311473.35549463,437743.5091475662806866,BTTUSDT
196,1578960000,0.00031064,0.00035044,0.00035096,0.00031032,1524820024.05570697,515812.6979616113062684,BTTUSDT
197,1579046400,0.00034925,0.00037511,0.00038497,0.00033866,1521457741.92878266,562296.9872713625054833,BTTUSDT
198,1579132800,0.00037515,0.00036272,0.00037858,0.00034464,1452551058.16082819,519412.1102775008179471,BTTUSDT
199,1579219200,0.00036274,0.00037830,0.00038725,0.00035663,1434449839.65637446,538014.2649390889797888,BTTUSDT
200,1579305600,0.00037832,0.00037638,0.00039827,0.00031041,1407466873.97841709,531766.6835074476325115,BTTUSDT
201,1579392000,0.00037636,0.00035329,0.00038282,0.00034958,1335506290.04350435,490069.9652818160675898,BTTUSDT
202,1579478400,0.00035331,0.00036013,0.00036395,0.00034991,1265435978.97009658,452497.0754484366229600,BTTUSDT
203,1579564800,0.00036015,0.00037317,0.00037317,0.00035727,1349789107.90616253,488034.4710221965986464,BTTUSDT
204,1579651200,0.00037360,0.00037409,0.00038200,0.00036971,1881746162.29638050,702809.4481031852567921,BTTUSDT
205,1579737600,0.00037310,0.00035205,0.00037310,0.00034042,1370195926.08775016,486585.1841453785692741,BTTUSDT
206,1579824000,0.00035096,0.00034746,0.00035185,0.00033277,1270279332.75952950,438871.9358678001064246,BTTUSDT
207,1579910400,0.00034748,0.00034356,0.00034788,0.00033647,1256818689.14411554,429547.6478447534166814,BTTUSDT
208,1579996800,0.00034358,0.00034870,0.00038000,0.00033783,1270347941.31024536,436742.3813721192380130,BTTUSDT
209,1580083200,0.00034872,0.00035556,0.00035990,0.00034662,1256534786.01156210,444317.1001780381659525,BTTUSDT
210,1580169600,0.00035554,0.00037211,0.00037346,0.00035522,1520695616.04703935,551717.7316861079762637,BTTUSDT
211,1580256000,0.00037213,0.00036392,0.00038229,0.00035951,1532282747.84193522,570212.1908330184097848,BTTUSDT
212,1580342400,0.00036390,0.00036945,0.00038109,0.00035655,1626904016.55071861,597764.0620746820425795,BTTUSDT
213,1580428800,0.00036947,0.00037195,0.00038052,0.00036224,1376247228.09832805,512812.6605175853547812,BTTUSDT
214,1580515200,0.00037197,0.00037994,0.00038684,0.00037087,1279573147.26483027,484213.3176696134343620,BTTUSDT
215,1580601600,0.00037996,0.00039336,0.00040469,0.00037205,1752243601.83785964,689387.8865178455592159,BTTUSDT
216,1580688000,0.00039338,0.00038826,0.00040956,0.00038310,1991346193.14129200,782932.4012015043916977,BTTUSDT
217,1580774400,0.00038828,0.00039743,0.00039772,0.00037451,2920449323.82272561,1132219.1965934056834432,BTTUSDT
218,1580860800,0.00039745,0.00041494,0.00042092,0.00039546,3876517471.96336667,1583577.0024394505789814,BTTUSDT
219,1580947200,0.00041492,0.00047226,0.00047226,0.00038143,3895022939.36045147,1720057.3674354117528431,BTTUSDT
220,1581033600,0.00047228,0.00048600,0.00050288,0.00046293,3889034788.00338220,1870953.2024358434677940,BTTUSDT
221,1581120000,0.00048602,0.00046468,0.00048648,0.00044405,3472897201.14177042,1629588.4917221523227193,BTTUSDT
222,1581206400,0.00046466,0.00047327,0.00059600,0.00042040,2613004363.43440589,1240609.7140701680520332,BTTUSDT
223,1581292800,0.00047325,0.00045812,0.00047407,0.00044050,2593770995.46784866,1181221.3202653260949487,BTTUSDT
224,1581379200,0.00045810,0.00046691,0.00047790,0.00044018,2597046385.47112367,1189674.0610701316718221,BTTUSDT
225,1581465600,0.00046689,0.00049547,0.00050474,0.00046681,2629633096.67534765,1285853.3609222242589519,BTTUSDT
226,1581552000,0.00049545,0.00051142,0.00053580,0.00048984,3029119827.78826269,1542939.6483474567013733,BTTUSDT
227,1581638400,0.00051140,0.00057710,0.00058516,0.00050000,3249535580.05523806,1761417.3483122184036542,BTTUSDT
228,1581724800,0.00057708,0.00054895,0.00063104,0.00052974,4121130219.08529740,2392081.4915211963971005,BTTUSDT
229,1581811200,0.00054897,0.00055380,0.00058707,0.00049762,4186415537.18362708,2307545.7324815765739966,BTTUSDT
230,1581897600,0.00055378,0.00053373,0.00055521,0.00048293,4192427769.78214784,2170894.4995294330461166,BTTUSDT
231,1581984000,0.00053379,0.00054526,0.00055441,0.00050725,4116780661.85383209,2199458.1349069234558874,BTTUSDT
232,1582070400,0.00054524,0.00049967,0.00054669,0.00049389,4773317483.75887812,2532760.9100657568034606,BTTUSDT
233,1582156800,0.00049969,0.00047822,0.00050989,0.00046214,5403148544.52893293,2611285.3330385185819241,BTTUSDT
234,1582243200,0.00047824,0.00049486,0.00049799,0.00046993,5354551001.33487061,2604064.9087318261014574,BTTUSDT
235,1582329600,0.00049488,0.00047853,0.00049846,0.00046871,5353049021.52991118,2555776.8787994429656063,BTTUSDT
236,1582416000,0.00047851,0.00049240,0.00049708,0.00047673,5349676681.95627420,2611816.4282349223022083,BTTUSDT
237,1582502400,0.00049242,0.00046617,0.00049292,0.00045152,5370732570.53491652,2528472.1088245609719921,BTTUSDT
238,1582588800,0.00046615,0.00041355,0.00046709,0.00040855,5362419847.14408456,2312594.0348260439674282,BTTUSDT
239,1582675200,0.00041353,0.00036202,0.00041880,0.00034695,5416607144.82992952,2037889.7667690547998776,BTTUSDT
240,1582761600,0.00036200,0.00037899,0.00047599,0.00034255,5392848871.70665180,2018463.8180841449025036,BTTUSDT
241,1582848000,0.00037901,0.00037158,0.00039494,0.00034734,5357617466.30507274,1986355.2566684019773044,BTTUSDT
242,1582934400,0.00037160,0.00035874,0.00037758,0.00035566,5352568530.43868441,1962719.3717793833029330,BTTUSDT
243,1583020800,0.00035876,0.00035852,0.00037074,0.00035172,5359745980.29175180,1938742.8122916763732533,BTTUSDT
244,1583107200,0.00035854,0.00037950,0.00038780,0.00035520,5344871020.71290522,1985940.8426856262707076,BTTUSDT
245,1583193600,0.00037952,0.00036700,0.00038018,0.00036513,5329480421.80422346,1980197.1721170389955814,BTTUSDT
246,1583280000,0.00036702,0.00036783,0.00044998,0.00035771,5353969509.32924700,1977310.1388323931187301,BTTUSDT
247,1583366400,0.00036785,0.00037855,0.00043822,0.00036683,5334424858.65760737,2017216.4127557871395260,BTTUSDT
248,1583452800,0.00037857,0.00039008,0.00039048,0.00037551,5305927295.04195614,2023613.5918307532137304,BTTUSDT
249,1583539200,0.00039006,0.00037060,0.00039602,0.00036566,5330749574.77628727,2030346.6206886692835835,BTTUSDT
250,1583625600,0.00037062,0.00031930,0.00037078,0.00031518,5340929367.20059576,1877633.1088644359274692,BTTUSDT
251,1583712000,0.00031932,0.00032493,0.00032547,0.00030131,5349740501.41862124,1685304.6388268990964345,BTTUSDT
252,1583798400,0.00032495,0.00031903,0.00032833,0.00031174,5322142702.80046847,1703055.5991411265531997,BTTUSDT
