asset,day,close,volume
celer-network,2020-05-22,0.002649907,2104347.20071952
celer-network,2020-05-23,0.0026267893,1180697.84987037
celer-network,2020-05-24,0.002633233,2844753.81329517
celer-network,2020-05-25,0.003170057,3937531.42950501
celer-network,2020-05-26,0.0028882618,3618636.29861506
celer-network,2020-05-27,0.002866366,2935468.37581376
celer-network,2020-05-28,0.0029210816,2835474.74132688
celer-network,2020-05-29,0.0028459101,1670560.58526886
celer-network,2020-05-30,0.0028715227,2064691.2469795
celer-network,2020-05-31,0.0028183085,2660138.3355527
celer-network,2020-06-01,0.0028519412,2305049.43740011
celer-network,2020-06-02,0.002760097,2404007.019699
celer-network,2020-06-03,0.0028624788,1819417.08331259
celer-network,2020-06-04,0.0028590746,1518986.24629647
celer-network,2020-06-05,0.00288019,1374978.13062302
celer-network,2020-06-06,0.0029080396,1378232.97205348
celer-network,2020-06-07,0.003065575,2913757.59996751
celer-network,2020-06-08,0.0030751743,2488087.70984656
celer-network,2020-06-09,0.0033689744,2890493.99147112
celer-network,2020-06-10,0.0033118916,2376342.9882294
celer-network,2020-06-11,0.0030205536,2427355.68775906
celer-network,2020-06-12,0.0032466117,1820388.56562741
celer-network,2020-06-13,0.0038267202,5206403.95452463
celer-network,2020-06-14,0.0038561362,6297909.81483076
celer-network,2020-06-15,0.004039893,6166611.13563485
celer-network,2020-06-16,0.00402845,3278047.50115624
celer-network,2020-06-17,0.0038834694,2688353.5702825
celer-network,2020-06-18,0.004388029,5216301.67121358
celer-network,2020-06-19,0.0043695206,5936591.58952495
celer-network,2020-06-20,0.004333688,3911303.13674921
celer-network,2020-06-21,0.0040684673,2590270.12915955
celer-network,2020-06-22,0.004027474,4190711.32301319
celer-network,2020-06-23,0.0039827875,2624264.73993004
celer-network,2020-06-24,0.0037705756,2877609.05297757
